,eng_caption,translated_caption,url
0,an empty chair sitting in front of a window,کھڑکی کے سامنے تختوں پر ایک چھوٹا سا تخت بیٹھتا ہے,http://static.flickr.com/2723/4385058960_b0f291553e.jpg
1,a house under construction with a building being built,تعمیر کے تحت تعمیر کا گھر تعمیر کِیا گیا تھا,http://static.flickr.com/3074/2965635243_d45c31f5df.jpg
2,a little boy that is sitting in a basket,ایک چھوٹا لڑکا ایک ٹوکری میں بیٹھا ہے,http://static.flickr.com/188/431442759_e0c519a6b2.jpg
3,a man in an apron working on crates of fish,مچھلیوں میں ایک آدمی مچھلی کے جال میں کام کرتا ہے,http://static.flickr.com/3276/2989279316_9e8e3e8a93.jpg
4,a view from a bridge over a river in central park,وسطی پارک کے ایک سرے سے لیکر وسطی پارک کا منظر,http://static.flickr.com/2691/4304191133_cbbf8b24c2.jpg
5,a pool with a mattress in it and some water,اُس میں ایک حوض ہے جس میں پانی اور پانی بہتا ہے,http://static.flickr.com/2736/4383260515_5661ae9eed.jpg
6,the woman is taking a picture in the mirror,آئینے میں عورت کی تصویر لی جا رہی ہے,http://static.flickr.com/2059/1797952657_2a707cee13.jpg
7,a small butterfly sits on a flower,پھول پر ایک چھوٹا سا پھول بیٹھ جاتا ہے,http://static.flickr.com/3131/2313442204_53f34791a8.jpg
8,two fish swim in the waters of an oceanarium,دو مچھلیاں سمندر کی تہہ میں تیرتی ہیں,http://static.flickr.com/83/231462166_6a9c49b428.jpg
9,some flowers on a wire above the kitchen sink,باورچی‌خانے کے اُوپر کچھ پھول خشک ہو جاتے ہیں,http://static.flickr.com/3124/2618462561_3d2531e442.jpg
10,a building with green grass and white clouds in the background,ہری گھاس اور سفید بادلوں سے بنا ہوا ایک عمارت,http://static.flickr.com/1397/955059512_85ff0350c0.jpg
11,the little lake near the campground area where we camped at the top of the hill,کیمپ کے قریب ایک چھوٹی سی جھیل جہاں ہم نے پہاڑوں کے اُوپر خیمہ رکھا,http://static.flickr.com/3258/2845118236_19ea9e84ac.jpg
12,a photo of two framed photographs on a gray wall,ایک سرخ دیوار پر دو تصاویر کی تصویر,http://static.flickr.com/5011/5558667285_73a6a48eaa.jpg
13,the plant in front of my window is the perfect example of this mirror,میری کھڑکی کے سامنے پودے اس آئینے کی کامل مثال ہے,http://static.flickr.com/4045/4546514230_bef88f864a.jpg
14,"a woman laying in a hammock, with a glass in her hand",ایک بلے میں پھنسے ہوئے عورت، اس کے ہاتھ میں شیشے کے ساتھ ایک شیشے کے ساتھ,http://static.flickr.com/3016/2845969638_f3d5a17284.jpg
15,the dog is licking the little girl's face,کتے کی چھوٹی لڑکی کے چہرے پر زور دے رہا ہے,http://static.flickr.com/3246/2750166202_a6dc3f9933.jpg
16,a group of people standing and laying in the sand at night,لوگوں کا ایک گروہ کھڑا ہوکر رات کو ریت پر سو جاتا ہے,http://static.flickr.com/4039/5123064041_8c3c457ef7.jpg
17,three people sitting on top of a stone wall,پتھر کی دیوار پر تین لوگ بیٹھے ہیں,http://static.flickr.com/27/38293921_76c9f66236.jpg
18,the old door to the building is closed by the tree,عمارت کی طرف قدیم دروازہ بند ہے,http://static.flickr.com/3019/2335522201_476776148a.jpg
19,the water is reflective from the sun in the tree tops,پانی کو درخت کے اُوپر سے اُوپر والے حصے سے دیکھا جاتا ہے,http://static.flickr.com/85/262751667_73dad5745b.jpg
20,a towel folded like an elephant by our room,ہمارے کمرے سے ایک ہاتھی کی مانند ایک ہاتھی کی مانند لپٹا ہے,http://static.flickr.com/3251/3047510627_eedaa7b305.jpg
21,a woman is walking past a painting on the street,ایک عورت سڑک پر ایک تصویر چل رہی ہے,http://static.flickr.com/3439/3703214562_52f979fac2.jpg
22,"the fall foliage in our neighborhood red, yellow and blue",ہمارے علاقے میں سرخ ، زرد اور نیلے رنگ میں موسمِ خزاں کے رنگ آتے ہیں,http://static.flickr.com/3048/2999625787_c18dd39a39.jpg
23,a coconut watermelon is sitting on a beach,ناریل کا پانی ساحل پر بیٹھا ہے,http://static.flickr.com/3407/3336976232_abb12d77c8.jpg
24,a street with several small houses in the background and many flags around the buildings,پس‌منظر میں کئی چھوٹے گھروں اور عمارتوں کے گرد بہت سے مجسّمہ‌سازی,http://static.flickr.com/1044/1466488968_8ab0d00f26.jpg
25,a woman standing at the edge of a bridge over a body of water,ایک عورت پانی کے دامن میں ایک پل کے نیچے کھڑے ہو رہی تھی,http://static.flickr.com/2099/1986901712_4d44c62df1.jpg
