caption,url
an empty chair sitting in front of a window,http://static.flickr.com/2723/4385058960_b0f291553e.jpg
a house under construction with a building being built,http://static.flickr.com/3074/2965635243_d45c31f5df.jpg
a little boy that is sitting in a basket,http://static.flickr.com/188/431442759_e0c519a6b2.jpg
a man in an apron working on crates of fish,http://static.flickr.com/3276/2989279316_9e8e3e8a93.jpg
a view from a bridge over a river in central park,http://static.flickr.com/2691/4304191133_cbbf8b24c2.jpg
a pool with a mattress in it and some water,http://static.flickr.com/2736/4383260515_5661ae9eed.jpg
the woman is taking a picture in the mirror,http://static.flickr.com/2059/1797952657_2a707cee13.jpg
a tree with a chair in it's middle,http://static.flickr.com/105/306928516_e9be73c42f.jpg
a small butterfly sits on a flower,http://static.flickr.com/3131/2313442204_53f34791a8.jpg
tree branches with a sky background,http://static.flickr.com/4063/4320789288_fd4b4f82f8.jpg
two fish swim in the waters of an oceanarium,http://static.flickr.com/83/231462166_6a9c49b428.jpg
some flowers on a wire above the kitchen sink,http://static.flickr.com/3124/2618462561_3d2531e442.jpg
a building with green grass and white clouds in the background,http://static.flickr.com/1397/955059512_85ff0350c0.jpg
a small marina on the croatian coast near the city of korcja,http://static.flickr.com/4138/4853406533_cf564bfa5c.jpg
the little lake near the campground area where we camped at the top of the hill,http://static.flickr.com/3258/2845118236_19ea9e84ac.jpg
a house surrounded by olive trees and stone walls in the village of largoo on the island of crete,http://static.flickr.com/3145/2768222261_81081bb8fd.jpg
the train station as seen from our bedroom window in kyoto,http://static.flickr.com/60/162425571_28e396e664.jpg
flower design stamp in a yellow towel,http://static.flickr.com/3413/3513496408_cc031a250e.jpg
"several glass ships, with small clear figures in the background",http://static.flickr.com/2785/4227650038_520a0e5686.jpg
a boy standing in the sand by a boat,http://static.flickr.com/187/485871655_ea7ab9b9e4.jpg
"a pink dyed, shaggy rug with a white striped fringe",http://static.flickr.com/1173/5153130200_8151075a65.jpg
a white and brown cat with green eyes sitting on a chair,http://static.flickr.com/5018/5526252212_254e6236f5.jpg
a cat is drinking water out of the pond,http://static.flickr.com/15/69824900_eb428925be.jpg
a photo of two framed photographs on a gray wall,http://static.flickr.com/5011/5558667285_73a6a48eaa.jpg
the plant in front of my window is the perfect example of this mirror,http://static.flickr.com/4045/4546514230_bef88f864a.jpg
"a woman laying in a hammock, with a glass in her hand",http://static.flickr.com/3016/2845969638_f3d5a17284.jpg
sun over the ocean with sand and rocks,http://static.flickr.com/158/350151678_5614977758.jpg
a colorful sky at dusk over the bridge of the bridge overpass on campus,http://static.flickr.com/57/173902864_d2d4f35779.jpg
the dog is licking the little girl's face,http://static.flickr.com/3246/2750166202_a6dc3f9933.jpg
a horse is looking at the camera as it stands next to a barbed fence,http://static.flickr.com/3241/3153848821_e05c0d3d70.jpg
a group of people standing and laying in the sand at night,http://static.flickr.com/4039/5123064041_8c3c457ef7.jpg
three people sitting on top of a stone wall,http://static.flickr.com/27/38293921_76c9f66236.jpg
the old door to the building is closed by the tree,http://static.flickr.com/3019/2335522201_476776148a.jpg
the water is reflective from the sun in the tree tops,http://static.flickr.com/85/262751667_73dad5745b.jpg
a towel folded like an elephant by our room,http://static.flickr.com/3251/3047510627_eedaa7b305.jpg
"the sun peeks from the windows on a building in philadelphia, pennsylvania",http://static.flickr.com/3649/3565175200_c01c9a2725.jpg
a woman is walking past a painting on the street,http://static.flickr.com/3439/3703214562_52f979fac2.jpg
"the fall foliage in our neighborhood red, yellow and blue",http://static.flickr.com/3048/2999625787_c18dd39a39.jpg
a coconut watermelon is sitting on a beach,http://static.flickr.com/3407/3336976232_abb12d77c8.jpg
a street with several small houses in the background and many flags around the buildings,http://static.flickr.com/1044/1466488968_8ab0d00f26.jpg
the top view of an old antique motorcycle plate,http://static.flickr.com/2041/2481420970_ea8afb19e3.jpg
a woman standing at the edge of a bridge over a body of water,http://static.flickr.com/2099/1986901712_4d44c62df1.jpg
the girls were having fun in the water fountain,http://static.flickr.com/1258/774905958_ab88677a61.jpg
an image of road going down mountain,http://static.flickr.com/51/151727215_b63621ad67.jpg
two masked men pose in front of rice fields with their house and green field behind,http://static.flickr.com/4091/5084290869_d82ccc6307.jpg
a very narrow alley in a city near a building,http://static.flickr.com/3249/2888402349_c562a5ab1d.jpg
flowers and a building with a tower in the background,http://static.flickr.com/197/491990667_cdff7889c7.jpg
there is a small kitchen area with an old table,http://static.flickr.com/3539/3418102234_f223a2705c.jpg
a fountain at a water park in front of a mountain,http://static.flickr.com/3238/2735844590_9461fc279d.jpg
a street with a clock tower on it's side,http://static.flickr.com/136/402353114_f645cef16c.jpg
a purple flower is in the middle of a pond,http://static.flickr.com/2634/4138616907_1239c1dbab.jpg
some people relax along the banks,http://static.flickr.com/1124/534323324_7ea073d0be.jpg
a man with glasses and a banana in his mouth,http://static.flickr.com/4132/5034592141_aa5803a914.jpg
a boy in a red sweater and his mom on the hay,http://static.flickr.com/3108/2481959856_0c341ed1bb.jpg
a branch with green leaves and a brown flower emerging from it,http://static.flickr.com/174/464187471_3daf596618.jpg
the boy was asleep in his bed at a hotel,http://static.flickr.com/21/29043873_a94832355b.jpg
the fallen tree in the water,http://static.flickr.com/4003/4267715885_5c6b7c6be3.jpg
a young child sitting on the beach with sand and shells,http://static.flickr.com/3164/2686949717_f5513b5c78.jpg
a young girl holding a cat in front of the sky,http://static.flickr.com/1082/872143859_beeaacda70.jpg
a white dog with pink collar sitting on top of a bed,http://static.flickr.com/2786/4536980458_617da1be01.jpg
a man in a tuxedo posing for a photo on a butterfly bench,http://static.flickr.com/4002/4454680560_ddf914449d.jpg
the red ornaments on the silver tree are not in use,http://static.flickr.com/5008/5324457734_436aa2cf0c.jpg
fuchsias planted along the sidewalk in front of the house,http://static.flickr.com/2140/2191732155_43ec648ee0.jpg
a black and white cat sitting in a brown bag,http://static.flickr.com/89/243125811_c2523958f5.jpg
"a large, colorful painting on the side of a building",http://static.flickr.com/4060/4293196329_3972813ce5.jpg
a table of mens ties in the store at an event,http://static.flickr.com/2499/3919084105_4885b75585.jpg
the machine works god,http://static.flickr.com/3403/3275774730_8440865d45.jpg
an image of a mother and child,http://static.flickr.com/2757/4410690593_def8da85fc.jpg
a black cat sits in a grass field,http://static.flickr.com/5085/5275796821_ce19ef6de8.jpg
a street sign in the middle of the night,http://static.flickr.com/3380/3475537602_dffa64e56a.jpg
the balloon is flying high over the lake,http://static.flickr.com/1367/540465074_6f8c1dacb3.jpg
"pig walking along the road in mumbai, india",http://static.flickr.com/1042/542387366_271de296d0.jpg
an image of a door leading into a hallway,http://static.flickr.com/74/190587491_cf512bfb91.jpg
an image of a train going under the bridge,http://static.flickr.com/3183/3557851301_d104f592c6.jpg
"a woman washing herself in a stone water well near the road from the village of chirki, bangladesh",http://static.flickr.com/1346/531588869_37fbcbe3d8.jpg
the sky above the forest in a clearing of green,http://static.flickr.com/3180/2717499954_4c85f9449e.jpg
a male bike racer in a blue and white jersey,http://static.flickr.com/4099/4788453723_848cd7174c.jpg
two young boys in a fenced in area,http://static.flickr.com/1040/813089478_c81f2176bc.jpg
a woman is taking a photo in front of the clock tower,http://static.flickr.com/2223/2134426827_b888561aca.jpg
a sign at a small park on the river in osaka,http://static.flickr.com/4013/4588238437_7cab2183bf.jpg
the bridge over the river with flags hanging over it,http://static.flickr.com/3399/3654417150_77322747b0.jpg
a burned house in the aftermath of a big wildfire,http://static.flickr.com/2027/1795731949_4a504cd14c.jpg
an old building is being demolished with a fence and weeds,http://static.flickr.com/1391/1132096416_95e61ce596.jpg
a hot dog sitting on top of a paper plate next to fries,http://static.flickr.com/4112/4965213778_5227a1da13.jpg
view from the train of the river with water going under it,http://static.flickr.com/3302/3199462916_10abe2420d.jpg
the reflection of trees in a bird bath,http://static.flickr.com/3572/3462655156_087417cb89.jpg
a girl in a dress on the grass,http://static.flickr.com/2130/1526486438_e002c985fd.jpg
a tree in the fall with orange leaves against a blue sky,http://static.flickr.com/1069/1428224755_4f7938a0a9.jpg
two boys on top of the hill near to their home,http://static.flickr.com/32/51291995_323c881e2b.jpg
a tall tree with leaves on it,http://static.flickr.com/3373/3620651788_caa2dd12cb.jpg
"the bed in the small room is in the corner of the room, where the bed is on the floor",http://static.flickr.com/54/140840205_42e8533abb.jpg
orange fungus ferminitisc mushrooms growing on a tree in the woods,http://static.flickr.com/4003/4582953168_bc02259cb5.jpg
the bike in my house,http://static.flickr.com/3546/3391733550_7f511d9c3b.jpg
an intersection with a street sign and some power lines,http://static.flickr.com/88/226047953_75c7301591.jpg
a black car crossing a bridge over the lake,http://static.flickr.com/1306/575750303_44247d37d0.jpg
"santa claus, standing at the base of a christmas tree, talking to kids",http://static.flickr.com/2586/4131925350_1025e95245.jpg
an old white house with a tree in front of it,http://static.flickr.com/4107/4991906474_cf956a8b1c.jpg
the stained glass window in the cathedral at the university,http://static.flickr.com/2346/2672417986_7ffd2d8089.jpg
three men in their firemen's uniforms standing next to the truck in the middle of the night,http://static.flickr.com/1113/3174114609_2cb9ec70e3.jpg
a lake with water in the mountains,http://static.flickr.com/3131/2728489237_146242487c.jpg
